Sample	Reads	Organism
10_24h_flag	931850	BP
11_24h_flag	1202444	BP
12_24h_flag	1336352	BP
13_24h_aCD3	967114	BP
14_24h_aCD3	908266	BP
15_24h_aCD3	539838	BP
4_6h_flag	673325	BP
5_6h_flag	1009848	BP
6_6h_flag	726732	BP
7_6h_aCD3	1274337	BP
8_6h_aCD3	696061	BP
9_6h_aCD3	1213754	BP
1_0h	1439571	BP
2_0h	891208	BP
3_0h	848747	BP
10_24h_flag	613944	BS
11_24h_flag	895069	BS
12_24h_flag	599483	BS
13_24h_aCD3	311515	BS
14_24h_aCD3	465622	BS
15_24h_aCD3	196137	BS
4_6h_flag	346536	BS
5_6h_flag	541860	BS
6_6h_flag	336606	BS
7_6h_aCD3	433862	BS
8_6h_aCD3	224593	BS
9_6h_aCD3	312940	BS
1_0h	616099	BS
2_0h	528057	BS
3_0h	454377	BS
10_24h_flag	615065	CB
11_24h_flag	472999	CB
12_24h_flag	778587	CB
13_24h_aCD3	736933	CB
14_24h_aCD3	742798	CB
15_24h_aCD3	476376	CB
4_6h_flag	792734	CB
5_6h_flag	666214	CB
6_6h_flag	536989	CB
7_6h_aCD3	895121	CB
8_6h_aCD3	470457	CB
9_6h_aCD3	753990	CB
1_0h	569073	CB
2_0h	572525	CB
3_0h	435983	CB
10_24h_flag	447798	PD
11_24h_flag	606156	PD
12_24h_flag	525322	PD
13_24h_aCD3	379754	PD
14_24h_aCD3	337839	PD
15_24h_aCD3	157085	PD
4_6h_flag	275178	PD
5_6h_flag	404083	PD
6_6h_flag	327544	PD
7_6h_aCD3	471324	PD
8_6h_aCD3	259670	PD
9_6h_aCD3	305718	PD
1_0h	398109	PD
2_0h	365371	PD
3_0h	344492	PD
