sample	exp	Kingdom	Phylum	Class	Order	Family	Genus	Species	pctseqs	numseqs
1	3mix.post.1..pool957	3mix	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium catenulatum	2.21583323639063e-05	2.21583323639063e-05
2	3mix.post.1..pool957	3mix	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Curtobacterium	Curtobacterium flaccumfaciens	1.66187492729297e-05	1.66187492729297e-05
3	3mix.post.1..pool957	3mix	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium radiodurans	3.32374985458594e-05	3.32374985458594e-05
4	3mix.post.1..pool957	3mix	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides distasonis	0.361214055030218	0.361214055030218
5	3mix.post.1..pool957	3mix	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Weissella	Weissella confusa	1.66187492729297e-05	1.66187492729297e-05
6	3mix.post.1..pool957	3mix	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus salivarius	4.98562478187892e-05	4.98562478187892e-05
7	3mix.post.1..pool957	3mix	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia luti	6.09354140007423e-05	6.09354140007423e-05
8	3mix.post.1..pool957	3mix	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia marasmi	0.538480713941469	0.538480713941469
9	3mix.post.1..pool957	3mix	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	[Clostridium] bolteae	0.0978511957190102	0.0978511957190102
10	3mix.post.1..pool957	3mix	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Peptostreptococcus	Peptostreptococcus russellii	0.000110791661819531	0.000110791661819531
11	3mix.post.1..pool957	3mix	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Gemmiger	Gemmiger formicilis	1.66187492729297e-05	1.66187492729297e-05
