Sample	Reads	Organism	Group
3mix_0h_1	8061929	BP	3mix
3mix_0h_2	11690258	BP	3mix
3mix_0h_3	7798782	BP	3mix
3mix_6h_4	9841113	BP	3mix
3mix_6h_5	9222783	BP	3mix
3mix_6h_6	9502626	BP	3mix
4mix_6h_7	10646959	BP	4mix
4mix_6h_8	7410173	BP	4mix
4mix_6h_9	8577558	BP	4mix
4mix_0h_10	7729728	BP	4mix
4mix_0h_11	5789107	BP	4mix
4mix_0h_12	5677305	BP	4mix
3mix_0h_1	43784	BS	3mix
3mix_0h_2	62648	BS	3mix
3mix_0h_3	47446	BS	3mix
3mix_6h_4	36018	BS	3mix
3mix_6h_5	43015	BS	3mix
3mix_6h_6	35233	BS	3mix
4mix_6h_7	835832	BS	4mix
4mix_6h_8	3023721	BS	4mix
4mix_6h_9	1981041	BS	4mix
4mix_0h_10	2765917	BS	4mix
4mix_0h_11	2616741	BS	4mix
4mix_0h_12	1970555	BS	4mix
3mix_0h_1	1118074	CB	3mix
3mix_0h_2	1870829	CB	3mix
3mix_0h_3	4056462	CB	3mix
3mix_6h_4	3378990	CB	3mix
3mix_6h_5	3398582	CB	3mix
3mix_6h_6	2364989	CB	3mix
4mix_6h_7	2807372	CB	4mix
4mix_6h_8	2077885	CB	4mix
4mix_6h_9	1687456	CB	4mix
4mix_0h_10	1235607	CB	4mix
4mix_0h_11	1689177	CB	4mix
4mix_0h_12	1762905	CB	4mix
3mix_0h_1	2453901	PD	3mix
3mix_0h_2	4100791	PD	3mix
3mix_0h_3	2446115	PD	3mix
3mix_6h_4	2083144	PD	3mix
3mix_6h_5	1859801	PD	3mix
3mix_6h_6	1466484	PD	3mix
4mix_6h_7	1503217	PD	4mix
4mix_6h_8	1938881	PD	4mix
4mix_6h_9	2149878	PD	4mix
4mix_0h_10	2534172	PD	4mix
4mix_0h_11	2219527	PD	4mix
4mix_0h_12	1616296	PD	4mix
