,sample,compound,value,dilution,experiment,tube_label
1,1,Acetate.ISTD,107565,dilute,TE37,1
2,2,Acetate.ISTD,97874,dilute,TE37,2
3,3,Acetate.ISTD,83573,dilute,TE37,3
4,4,Acetate.ISTD,94071,dilute,TE37,4
5,5,Acetate.ISTD,88238,dilute,TE37,5
6,6,Acetate.ISTD,101411,dilute,TE37,6
7,7,Acetate.ISTD,104214,dilute,TE37,7
8,8,Acetate.ISTD,98822,dilute,TE37,8
9,9,Acetate.ISTD,100445,dilute,TE37,9
10,10,Acetate.ISTD,98285,dilute,TE37,10
11,11,Acetate.ISTD,100708,dilute,TE37,11
12,12,Acetate.ISTD,101045,dilute,TE37,12
13,13,Acetate.ISTD,118197,dilute,TE37,13
14,14,Acetate.ISTD,98476,dilute,TE37,14
15,15,Acetate.ISTD,102870,dilute,TE37,15
16,16,Acetate.ISTD,100324,dilute,TE37,16
17,17,Acetate.ISTD,98084,dilute,TE37,17
18,18,Acetate.ISTD,73462,dilute,TE37,18
19,19,Acetate.ISTD,75383,dilute,TE37,19
20,20,Acetate.ISTD,98906,dilute,TE37,20
21,21,Acetate.ISTD,93740,dilute,TE37,21
22,22,Acetate.ISTD,98736,dilute,TE37,22
23,23,Acetate.ISTD,84967,dilute,TE37,23
24,24,Acetate.ISTD,74803,dilute,TE37,24
25,25,Acetate.ISTD,87685,dilute,TE37,25
26,26,Acetate.ISTD,97325,dilute,TE37,26
27,27,Acetate.ISTD,105909,dilute,TE37,27
28,28,Acetate.ISTD,108387,dilute,TE37,28
29,c1,Acetate.ISTD,1438950,concentrate,TE37,1
30,c2,Acetate.ISTD,1497389,concentrate,TE37,2
31,c3,Acetate.ISTD,1444958,concentrate,TE37,3
32,c4,Acetate.ISTD,1416449,concentrate,TE37,4
33,c5,Acetate.ISTD,1344478,concentrate,TE37,5
34,c6,Acetate.ISTD,1327319,concentrate,TE37,6
35,c7,Acetate.ISTD,1300384,concentrate,TE37,7
36,c8,Acetate.ISTD,1391116,concentrate,TE37,8
37,c9,Acetate.ISTD,1423445,concentrate,TE37,9
38,c10,Acetate.ISTD,1479280,concentrate,TE37,10
39,c11,Acetate.ISTD,1460306,concentrate,TE37,11
40,c12,Acetate.ISTD,1444898,concentrate,TE37,12
41,c13,Acetate.ISTD,1618951,concentrate,TE37,13
42,c14,Acetate.ISTD,1396343,concentrate,TE37,14
