X,compound,type,dilution,molecular_weight,group
28,X2.aminobutyrate,Aminated_SCFA,concentrate,101.1,A
36,X3.aminoisobutyrate,Aminated_SCFA,concentrate,100.1,B
43,X4.aminobutyrate,Aminated_SCFA,concentrate,100.1,A
44,X5.aminovalerate,Aminated_SCFA,concentrate,113.9,C
29,valine,Amino_acid,dilute,115.1,A
31,leucine,Amino_acid,dilute,129.1,A
32,isoleucine,Amino_acid,dilute,129.1,A
33,proline,Amino_acid,dilute,113.1,A
37,methionine,Amino_acid,concentrate,147,A
38,glycine,Amino_acid,dilute,72,A
39,alanine,Amino_acid,dilute,86,A
40,phenylalanine,Amino_acid,dilute,163.1,A
41,threonine,Amino_acid,concentrate,116.1,A
45,asparate,Amino_acid,concentrate,129.8,A
46,glutamate,Amino_acid,dilute,143.9,A
47,lysine,Amino_acid,dilute,143,A
49,tryptophan,Amino_acid,concentrate,202.1,A
22,phenol,Aromatic,concentrate,93,C
24,p.cresol,Aromatic,concentrate,107,A
25,benzoate,Aromatic,concentrate,121,A
26,phenylacetate,Aromatic,concentrate,135,A
27,hydrocinnamate,Aromatic,concentrate,149,C
48,tyramine,Aromatic,concentrate,134.1,A
50,desaminotyrosine,Aromatic,concentrate,166,B
7,isobutyrate,Branch_SCFA,dilute,87,A
8,pivalate,Branch_SCFA,concentrate,101,A
14,X2.methylbutyrate,Branch_SCFA,concentrate,101,A
16,isovalerate,Branch_SCFA,concentrate,101,A
19,X4.methylvalerate,Branch_SCFA,concentrate,115,A
15,X2.hydroxybutyrate,Hydroxylated_SCFA,concentrate,103,A
23,X2.hydroxyhexanoate,Hydroxylated_SCFA,concentrate,131,A
1,Acetate.ISTD,ISTD,dilute,NA,NA
2,Acetate.ISTD,ISTD,concentrate,NA,NA
4,Propionate.ISTD,ISTD,dilute,NA,NA
5,Propionate.ISTD,ISTD,concentrate,NA,NA
9,Butyrate.ISTD,ISTD,dilute,NA,NA
10,ButyrateM1.ISTD,ISTD,dilute,NA,NA
11,ButyrateM1.ISTD,ISTD,concentrate,NA,NA
34,Succinate.ISTD,ISTD,concentrate,NA,NA
35,succinate,Other,concentrate,116,A
42,palmitate,Other,concentrate,255,A
17,crotonate,Other,concentrate,85,A
3,acetate,SCFA,dilute,59,A
6,propionate,SCFA,dilute,73,A
12,butyrate,SCFA,dilute,87,A
18,valerate,SCFA,concentrate,101,A
21,hexanoate,SCFA,concentrate,115,A
