"","sample","compound","value","dilution","run","tube_label"
"1","109","Acetate.ISTD",435734,"dilute","SBR1",109
"2","110","Acetate.ISTD",426468,"dilute","SBR1",110
"3","111","Acetate.ISTD",432337,"dilute","SBR1",111
"4","112","Acetate.ISTD",413006,"dilute","SBR1",112
"5","113","Acetate.ISTD",393213,"dilute","SBR1",113
"6","114","Acetate.ISTD",458039,"dilute","SBR1",114
"7","115","Acetate.ISTD",448436,"dilute","SBR1",115
"8","116","Acetate.ISTD",391475,"dilute","SBR1",116
"9","117","Acetate.ISTD",520225,"dilute","SBR1",117
"10","118","Acetate.ISTD",421855,"dilute","SBR1",118
"11","119","Acetate.ISTD",406446,"dilute","SBR1",119
"12","120","Acetate.ISTD",472827,"dilute","SBR1",120
"13","121","Acetate.ISTD",450640,"dilute","SBR1",121
"14","122","Acetate.ISTD",416115,"dilute","SBR1",122
"15","123","Acetate.ISTD",479163,"dilute","SBR1",123
"16","c109","Acetate.ISTD",6037678,"concentrate","SBR1",109
"17","c110","Acetate.ISTD",6336105,"concentrate","SBR1",110
"18","c111","Acetate.ISTD",4952715,"concentrate","SBR1",111
"19","c112","Acetate.ISTD",5495206,"concentrate","SBR1",112
"20","c113","Acetate.ISTD",5206383,"concentrate","SBR1",113
"21","c114","Acetate.ISTD",6185645,"concentrate","SBR1",114
"22","c115","Acetate.ISTD",6193070,"concentrate","SBR1",115
"23","c116","Acetate.ISTD",5861292,"concentrate","SBR1",116
"24","c117","Acetate.ISTD",5346613,"concentrate","SBR1",117
"25","c118","Acetate.ISTD",5491194,"concentrate","SBR1",118
"26","c119","Acetate.ISTD",5248798,"concentrate","SBR1",119
"27","c120","Acetate.ISTD",4865770,"concentrate","SBR1",120
"28","c121","Acetate.ISTD",5616137,"concentrate","SBR1",121
"29","c122","Acetate.ISTD",5136248,"concentrate","SBR1",122
"30","c123","Acetate.ISTD",5989526,"concentrate","SBR1",123
"31","109","acetate",524820,"dilute","SBR1",109
"32","110","acetate",377899,"dilute","SBR1",110
"33","111","acetate",392868,"dilute","SBR1",111
"34","112","acetate",251135,"dilute","SBR1",112
"35","113","acetate",302129,"dilute","SBR1",113
"36","114","acetate",255387,"dilute","SBR1",114
"37","115","acetate",306028,"dilute","SBR1",115
"38","116","acetate",312624,"dilute","SBR1",116
"39","117","acetate",371249,"dilute","SBR1",117
"40","118","acetate",743557,"dilute","SBR1",118
"41","119","acetate",506428,"dilute","SBR1",119
"42","120","acetate",897258,"dilute","SBR1",120
"43","121","acetate",599256,"dilute","SBR1",121
"44","122","acetate",782864,"dilute","SBR1",122
