Gene	CB_m1_0h	CB_m2_0h	CB_m3_0h	CB_m4_6h_flag	CB_m5_6h_flag	CB_m6_6h_flag	CB_m7_6h_aCD3	CB_m8_6h_aCD3	CB_m9_6h_aCD3	CB_m10_24h_flag	CB_m11_24h_flag	CB_m12_24h_flag	CB_m13_24h_aCD3	CB_m14_24h_aCD3	CB_m15_24h_aCD3
1	ID=fig|208479.6.peg.25;Name=Molybdopterin molybdenumtransferase (EC 2.10.1.1);Ontology_term=KEGG_ENZYME:2.10.1.1	21.4249565538214	15.5479780415575	15.6409859744426	22.1042473034577	25.3352056137925	7.39530513530561	23.1183032374435	6.74928285106238	10.1218769061732	15.826701309636	25.7417663368482	15.6921746048684	31.277889740629	10.6107607641348	16.4257919355616
2	ID=fig|208479.6.peg.26;Name=Uncharacterized DUF554 membrane protein	0	0	3.91024649361065	1.57887480738983	1.68901370758617	0	5.77957580936088	0	0	1.21743856227969	1.83869759548915	3.36260884390038	2.50223117925032	3.5369202547116	2.73763198926027
3	ID=fig|208479.6.peg.27;Name=Aspartate aminotransferase (EC 2.6.1.1);Ontology_term=KEGG_ENZYME:2.6.1.1	14.2833043692143	14.134525492325	9.77561623402664	6.31549922955934	18.5791507834478	4.93020342353707	11.5591516187218	10.1239242765936	2.53046922654331	20.6964555587548	9.19348797744577	7.84608730243421	17.5156182547522	0	17.7946079301918
4	ID=fig|208479.6.peg.28;Name=acetobutylicum phosphotransbutyrylase	0	2.826905098465	1.95512324680533	6.31549922955934	3.37802741517233	2.46510171176854	2.88978790468044	0	5.06093845308661	3.65231568683908	1.83869759548915	1.12086961463346	1.25111558962516	1.7684601273558	1.36881599463014
5	ID=fig|208479.6.peg.29;Name=tRNA pseudouridine(38-40) synthase (EC 5.4.99.12);Ontology_term=KEGG_ENZYME:5.4.99.12	0	2.826905098465	1.95512324680533	6.31549922955934	1.68901370758617	2.46510171176854	4.33468185702066	0	0	1.21743856227969	5.51609278646746	1.12086961463346	0	5.3053803820674	0
6	ID=fig|208479.6.peg.30;Name=Cobalt-zinc-cadmium resistance protein	12.4978913230625	14.8412517669412	10.7531778574293	6.31549922955934	19.4236576372409	12.3255085588427	15.8938334757424	18.5605278404216	1.26523461327165	10.3482277793774	9.19348797744577	26.900870751203	15.6389448703145	10.6107607641348	4.10644798389041
7	ID=fig|208479.6.peg.31;Name=sigma-70 region 2	78.5581740306785	19.0816094146387	40.0800265595092	39.4718701847459	26.1797124675856	46.8369325236022	34.6774548561653	59.0562249467959	13.9175807459882	16.4354205907759	13.7902319661687	31.3843492097368	30.0267741510038	54.8222639480298	31.4827678764931
8	ID=fig|208479.6.peg.33;Name=FIG00253438: hypothetical protein	7.14165218460714	4.24035764769749	5.86536974041598	3.15774961477967	5.0670411227585	2.46510171176854	1.44489395234022	3.37464142553119	2.53046922654331	6.08719281139847	0	0	2.50223117925032	1.7684601273558	0
9	ID=fig|208479.6.peg.34;Name=hypothetical protein	0	26.8555984354175	41.0575881829119	34.7352457625764	38.0028084206888	19.7208136941483	18.7836213804228	16.873207127656	35.4265691716063	3.65231568683908	22.0643711458699	6.72521768780075	3.75334676887548	38.9061228018276	5.47526397852054
10	ID=fig|208479.6.peg.35;Name=hypothetical protein	3.57082609230357	1.4134525492325	3.91024649361065	9.47324884433901	6.75605483034467	2.46510171176854	4.33468185702066	3.37464142553119	5.06093845308661	3.65231568683908	5.51609278646746	3.36260884390038	7.50669353775095	8.84230063677899	2.73763198926027
