BS_m1_0h	BS_m2_0h	BS_m3_0h	BS_m4_6h_flag	BS_m5_6h_flag	BS_m6_6h_flag	BS_m7_6h_aCD3	BS_m8_6h_aCD3	BS_m9_6h_aCD3	BS_m10_24h_flag	BS_m11_24h_flag	BS_m12_24h_flag	BS_m13_24h_aCD3	BS_m14_24h_aCD3	BS_m15_24h_aCD3
ID=fig|671267.8.peg.1;Name=DNA-binding response regulator%2C AraC family	30	51	32	36	56	16	40	4	12	88	74	70	40	34	14
ID=fig|671267.8.peg.2;Name=Putative large secreted protein SCO0341	30	63	50	18	50	44	44	4	12	136	86	146	42	52	32
ID=fig|671267.8.peg.3;Name=Repair of Iron Centers di-iron protein	0	6	4	10	4	0	13	6	4	2	16	10	4	4	0
ID=fig|671267.8.peg.4;Name=Hydroxylamine reductase (EC 1.7.99.1);Ontology_term=KEGG_ENZYME:1.7.99.1	2	2	0	0	6	6	5	2	0	2	8	0	8	0	0
ID=fig|671267.8.peg.5;Name=Hcp transcriptional regulator HcpR (Crp/Fnr family)	0	2	2	6	0	2	0	0	2	3	8	4	2	0	4
ID=fig|671267.8.peg.6;Name=hypothetical protein	2206	743	466	1004	1169	455	1194	303	910	860	1884	1158	496	924	238
ID=fig|671267.8.peg.7;Name=Two-component transcriptional response regulator%2C LuxR family	367	118	56	64	95	47	163	50	91	69	138	114	50	102	38
ID=fig|671267.8.peg.8;Name=Sensor protein	43	23	21	66	97	36	69	9	76	29	48	23	12	23	12
ID=fig|671267.8.peg.9;Name=hypothetical protein	130	43	38	59	68	53	80	8	36	102	56	40	16	48	14
ID=fig|671267.8.peg.10;Name=Glycosyltransferase	2	0	2	8	10	4	6	2	2	9	7	4	6	4	0
ID=fig|671267.8.peg.11;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0
ID=fig|671267.8.peg.12;Name=Aminopeptidase	87	113	87	21	26	26	31	4	4	219	283	247	70	47	21
ID=fig|671267.8.peg.13;Name=ATP synthase beta chain (EC 3.6.3.14);Ontology_term=KEGG_ENZYME:3.6.3.14	471	258	242	324	776	338	632	177	194	439	947	508	251	449	119
ID=fig|671267.8.peg.14;Name=ATP synthase epsilon chain (EC 3.6.3.14);Ontology_term=KEGG_ENZYME:3.6.3.14	41	26	34	40	102	20	62	21	33	70	193	87	49	56	21
ID=fig|671267.8.peg.15;Name=ATP synthase protein I	15	13	30	33	70	28	63	5	13	43	109	36	16	25	6
ID=fig|671267.8.peg.16;Name=ATP synthase F0 sector subunit a (EC 3.6.3.14);Ontology_term=KEGG_ENZYME:3.6.3.14	62	71	76	88	188	68	187	58	58	99	290	161	74	76	40
ID=fig|671267.8.peg.17;Name=ATP synthase F0 sector subunit c (EC 3.6.3.14);Ontology_term=KEGG_ENZYME:3.6.3.14	25	16	23	36	49	26	58	22	4	60	93	34	14	36	10
ID=fig|671267.8.peg.18;Name=ATP synthase F0 sector subunit b (EC 3.6.3.14);Ontology_term=KEGG_ENZYME:3.6.3.14	149	179	178	172	335	185	246	89	92	245	423	192	82	207	32
ID=fig|671267.8.peg.19;Name=ATP synthase delta chain (EC 3.6.3.14);Ontology_term=KEGG_ENZYME:3.6.3.14	105	174	102	111	259	122	244	56	74	228	459	225	93	170	34
ID=fig|671267.8.peg.20;Name=ATP synthase alpha chain (EC 3.6.3.14);Ontology_term=KEGG_ENZYME:3.6.3.14	166	474	418	423	961	540	746	270	244	739	1292	770	308	527	206
ID=fig|671267.8.peg.21;Name=ATP synthase gamma chain (EC 3.6.3.14);Ontology_term=KEGG_ENZYME:3.6.3.14	349	300	303	198	427	245	319	121	156	364	728	468	192	389	94
ID=fig|671267.8.peg.22;Name=hypothetical protein	19	13	6	10	7	10	6	0	12	17	17	19	14	15	4
ID=fig|671267.8.peg.23;Name=hypothetical protein	18	16	11	4	12	12	16	0	2	26	43	30	14	12	5
