PD_m1_0h	PD_m2_0h	PD_m3_0h	PD_m4_6h_flag	PD_m5_6h_flag	PD_m6_6h_flag	PD_m7_6h_aCD3	PD_m8_6h_aCD3	PD_m9_6h_aCD3	PD_m10_24h_flag	PD_m11_24h_flag	PD_m12_24h_flag	PD_m13_24h_aCD3	PD_m14_24h_aCD3	PD_m15_24h_aCD3
ID=fig|823.92.peg.1;Name=Membrane protein involved in the export of O-antigen%2C teichoic acid lipoteichoic acids	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0
ID=fig|823.92.peg.2;Name=Permease of the drug/metabolite transporter (DMT) superfamily	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.3;Name=Lipopolysaccharide core biosynthesis protein RfaS	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ID=fig|823.92.peg.4;Name=Putative N-acetylgalactosaminyl-diphosphoundecaprenol glucuronosyltransferase	5	0	0	0	0	0	0	0	0	0	4	0	0	2	0
ID=fig|823.92.peg.5;Name=Undecaprenyl-phosphate galactosephosphotransferase (EC 2.7.8.6);Ontology_term=KEGG_ENZYME:2.7.8.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.6;Name=UDP-glucose 4-epimerase (EC 5.1.3.2);Ontology_term=KEGG_ENZYME:5.1.3.2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ID=fig|823.92.peg.7;Name=Phosphoribosylglycinamide synthetase%2C ATP-grasp (A) domain protein	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.8;Name=Aminotransferase%2C DegT/DnrJ/EryC1/StrS family	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0
ID=fig|823.92.peg.9;Name=Tyrosine-protein kinase (EC 2.7.10.2);Ontology_term=KEGG_ENZYME:2.7.10.2	0	0	0	0	1	0	2	0	0	2	0	0	0	2	0
ID=fig|823.92.peg.10;Name=Polysaccharide export outer membrane protein	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.11;Name=FIG00898417: hypothetical protein	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.12;Name=UDP-N-acetylglucosamine 4%2C6-dehydratase (EC 4.2.1.135);Ontology_term=KEGG_ENZYME:4.2.1.135	0	0	0	2	4	0	2	0	0	4	2	2	0	2	0
