Superclass	Class	Subclass	Subsystem.Name	Role.ID	Role.Name	Active	Gene	Product	Organism
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.1	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.repeat.1	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.2	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.3	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.4	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.5	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.6	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.7	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.8	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.9	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.10	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.11	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.12	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.13	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.14	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.15	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.repeat.2	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.16	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.17	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.18	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.repeat.3	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.19	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.20	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.21	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.22	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.23	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.24	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.25	NA	BP
STRESS RESPONSE, DEFENSE, VIRULENCE	Stress Response, Defense and Virulence	Resistance to antibiotics and toxic compounds	Antibiotic targets in cell wall biosynthesis	D-alanine--D-alanine_ligase_(EC_6.3.2.4)	D-alanine--D-alanine ligase (EC 6.3.2.4)	active	fig|33035.10.peg.26	D-alanine--D-alanine ligase (EC 6.3.2.4)	BP
CELLULAR PROCESSES	Cell Cycle, Cell Division and Death	Cell division cluster	Cell division cluster	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine_ligase_(EC_6.3.2.10)	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase (EC 6.3.2.10)	likely	fig|33035.10.peg.27	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase (EC 6.3.2.10)	BP
CELLULAR PROCESSES	Cell Cycle, Cell Division and Death	Cell division cluster	Cell division cluster	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine_ligase_(EC_6.3.2.10)	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase (EC 6.3.2.10)	likely	fig|33035.10.peg.28	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase (EC 6.3.2.10)	BP
CELLULAR PROCESSES	Cell Cycle, Cell Division and Death	Cell division cluster	Cell division cluster	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine_ligase_(EC_6.3.2.10)	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase (EC 6.3.2.10)	likely	fig|33035.10.peg.29	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase (EC 6.3.2.10)	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.30	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.31	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.32	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.33	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.34	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.35	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.36	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.37	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.38	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.39	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.40	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.41	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.repeat.4	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.42	NA	BP
METABOLISM	Sulfur Metabolism	Adaptation to d-cysteine	Adaptation to d-cysteine	D-cysteine_desulfhydrase_(EC_4.4.1.15)	D-cysteine desulfhydrase (EC 4.4.1.15)	likely	fig|33035.10.peg.43	D-cysteine desulfhydrase (EC 4.4.1.15)	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.44	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.repeat.5	NA	BP
